"taxparcelnumber","location_value"
"7745002579","Other"
"7745002585","Other"
"7745002588","Other"
"7745002589","Other"
"7745002608","Other"
"7745002609","Other"
"7745002700","Other"
"7745002751","Other"
"7745002883","Other"
"7745002921","Other"
"7745003000","Other"
"7745003030","Other"
"7745003100","Other"
"7745003160","Other"
"7745003197","Other"
"7745003210","Other"
"7745003264","Other"
"7745003284","Other"
"7745003303","Other"
"7745003391","Other"
"7745003392","Other"
"7745003418","Other"
"7745003422","Other"
"7745003441","Other"
"7745003481","Other"
"7745003482","Other"
"7750000045","Other"
"7750000051","Other"
"7750000100","Other"
"7750000130","Other"
"7750000151","Other"
"7750000154","Low"
"7750000170","Other"
"7750000230","Other"
"7750000440","Other"
"7750000461","Other"
"7755000160","Low"
"7755000220","Low"
"7755000310","Low"
"7755000330","Low"
"7755000400","Low"
"7755000673","Low"
"7755010023","Low"
"7755010160","High"
"7755010326","Low"
"7755010703","Low"
"7755010704","Low"
"7755011113","Low"
"7755011162","Low"
"7755011163","Low"
"7755011221","Low"
"7755011231","Low"
"7755011312","Low"
"7755011382","Low"
"7755011442","Low"
"7755011534","Low"
"7755011791","Low"
"7755011792","Low"
"7755011840","Other"
"7755011884","Low"
"7755011922","Low"
"7755011927","Low"
"7755012151","Low"
"7755012164","Low"
"7760000031","Low"
"7760000041","Low"
"7760000060","Low"
"7760000110","Low"
"7760000140","Low"
"7760000201","Low"
"7760000231","Low"
"7760000232","Low"
"7760000242","Low"
"7760000316","Low"
"7760000380","Low"
"7760000390","Low"
"7760000444","Low"
"7760000471","Low"
"7760100013","Low"
"7760100032","Other"
"7760100033","Low"
"7760100035","Low"
"7760100040","Low"
"7760100041","Low"
"7760100054","Low"
"7760100110","Low"
"7760100120","Low"
"7760100130","Other"
"7760100140","Low"
"7760100162","Low"
"7760100210","Low"
"7765000040","Other"
"7765000340","Low"
"7765000600","Low"
"7765000650","High"
"7765000680","Other"
"7765200280","Other"
"7765200450","Low"
"7765200530","High"
"7765200634","High"
"7765200790","Other"
"7765300130","Low"
"7765300140","Low"
"7765300240","Low"
"7765300260","Low"
"7765300460","Low"
"7765300510","Low"
"7765301010","Low"
"7770000072","Other"
"7770000130","Other"
"7770000230","Other"
"7770000252","Other"
"7770000270","Other"
"7770000310","Other"
"7770000370","Other"
"7770000450","Other"
"7770000480","Other"
"7770000490","Other"
"7770000520","Other"
"7770000550","Other"
"7770000611","Other"
"7770000612","Other"
"7770000640","Other"
"7770000731","Other"
"7770000760","Other"
"7770000801","Other"
"7770000850","Other"
"7770000880","Other"
"7770000890","Other"
"7770000900","Other"
"7770000960","Other"
"7770001010","Other"
"7770001080","Other"
"7770001110","Other"
"7770001140","Other"
"7770001180","Other"
"7770001230","Other"
"7770001330","Other"
"7770001390","Other"
"7770001500","Other"
"7770001530","Other"
"7770001611","Other"
"7770001640","Other"
"7770001651","Other"
"7770001680","Other"
"7770001710","Other"
"7770001720","Other"
"7770001741","Other"
"7770001790","Other"
"7770100100","Other"
"7770100210","Other"
"7770100240","Other"
"7770100290","Low"
"7770100320","Other"
"7770100390","Other"
"7770100420","Other"
"7770100430","Other"
"7770100460","Low"
"7770100530","Other"
"7770100540","Other"
"7770100550","Low"
"7770100630","Other"
"7770100700","Other"
"7770100750","Other"
"7770100800","Other"
"7770100810","Other"
"7770100900","Other"
"7770100930","Other"
"7770100960","Other"
"7770100970","Other"
"7770101010","Other"
"7770101030","Other"
"7770101080","Other"
"7770101100","Other"
"7770101170","High"
"7770101240","Other"
"7770101320","Other"
"7770101330","Other"
"7770101351","Other"
"7770101391","Other"
